Fold,Ridge_MAE,Ridge_RMSE,Ridge_R2,Ridge_Spearman,KNN_MAE,KNN_RMSE,KNN_R2,KNN_Spearman,RF_MAE,RF_RMSE,RF_R2,RF_Spearman,SVR_MAE,SVR_RMSE,SVR_R2,SVR_Spearman
1,0.503789308700056,0.655396497183992,0.3936034240185263,0.6438143755472467,0.5080381883802862,0.6563651963698708,0.39180954815038693,0.6430113973823495,0.4693537169844352,0.6204096478729898,0.4566175667989225,0.6791499204918239,0.4762524569443341,0.6296068631355773,0.4403874887111363,0.6594986793100117
2,0.49385982939656403,0.6507817448531704,0.3423830921557456,0.6030857175378713,0.4891420282279756,0.6415731455823718,0.36086205582337083,0.6110956898620381,0.49185445712635845,0.6415568885910539,0.3608944459832074,0.626182403036008,0.4774157966360601,0.6388960837488181,0.36618472894210763,0.6300558428360719
3,0.5214607101005545,0.6687115600554312,0.35383190745269444,0.5679728013649219,0.5279297985190788,0.6764489610006308,0.3387922805678866,0.5699999327514955,0.49642925575519736,0.6421430761461648,0.40415752979964636,0.614227323786866,0.49217464848245407,0.6642680327368221,0.362390832088311,0.5960029582044871
4,0.5342391256250293,0.6791021662920966,0.3154108589205945,0.5685995835334644,0.537227477527496,0.6935854980826724,0.2858987676634599,0.5551500926578473,0.505296760956281,0.6493107469277205,0.37415763767105703,0.6122219637798509,0.5122276708304451,0.6712716925224234,0.33110732318420766,0.5943360084361339
5,0.5074981816645211,0.6647106459267547,0.3351120958919551,0.5839092415560693,0.5198982599512931,0.6666876481121873,0.3311511554812032,0.5897317080153707,0.5138717576719835,0.6632271453930549,0.3380765764107365,0.5881144727872285,0.4943032497227311,0.6676672754740628,0.3291841053303044,0.5821394912723897
6,0.5348491016511888,0.6761113535956197,0.39312281802491933,0.6161941445493109,0.5286938543232869,0.66173561710119,0.41865576210970046,0.6131501518010035,0.513172648225957,0.6582387270901157,0.4247836641418945,0.6359356286794279,0.5254656309354369,0.6715234790867308,0.4013310214099942,0.6095942612925226
7,0.5178020748086285,0.6806719515989157,0.22714092729919344,0.5376662850359232,0.4893404915458386,0.6652377519741782,0.2617926345608703,0.5546531096391091,0.4842627656655608,0.6457340372896387,0.3044442299667831,0.5955033743720284,0.47658223389619997,0.6409236372265471,0.3147687247884605,0.594444392501763
8,0.5130058125211115,0.6806468240040746,0.34882371672617096,0.606226070808128,0.5152543323050208,0.6759455432129824,0.357788101512571,0.6253027619730582,0.4930959106114117,0.6519803445223132,0.40251922449084565,0.6250275870251237,0.5151986620285193,0.6709985605426284,0.367153901789105,0.6195470633969848
9,0.5361177850434777,0.6786247562163473,0.311273939954285,0.5503167927610423,0.5365732505969576,0.6720229056676776,0.3246089970217254,0.5644056006378018,0.5115279289746201,0.6485787564557706,0.3709103237118796,0.6202951065565462,0.4995688991684534,0.6444339020250246,0.37892524345585366,0.6244895678402231
10,0.47069532509287637,0.6108912780042746,0.4232710916153427,0.653238208110427,0.4993410185373672,0.6420737524143375,0.36289105158370594,0.6310774876950442,0.45746717669552417,0.6040491738710405,0.43611770172704734,0.6712774853118229,0.46621898827463765,0.6198269090134093,0.4062758353784136,0.6472969138281761
11,0.5091151277092056,0.6522598626494829,0.3129767627090282,0.5573685892796425,0.5176726240088324,0.66354343169083,0.2890012679997521,0.5584527686615489,0.5203749924769968,0.6583881868753041,0.30000622631058704,0.5599158279349816,0.5165288361934576,0.6516426414164007,0.3142763818359743,0.5746561986891611
12,0.510515518109033,0.65464065449566,0.37030966531249687,0.6250475529306613,0.5246316036372418,0.6738981280418169,0.3327177347990157,0.6081548346993523,0.4924427430013836,0.6425175039416646,0.39341591768748707,0.6518894204255611,0.4937105805136386,0.6555341545262786,0.3685896001530876,0.6232780345383837
13,0.5094273509221928,0.6637284164453776,0.3489688625849069,0.6074452142064902,0.5390129942854155,0.672900908236829,0.33085048717569143,0.5803193200723333,0.49621883753501406,0.6248839616787533,0.42294169801574666,0.6446161964992663,0.5058845357591717,0.6400917470542946,0.3945122061249813,0.6233697032557356
14,0.533441329441378,0.687725279879859,0.3532351066228847,0.5800276357468854,0.5335949864478272,0.7033706360601127,0.3234733205243294,0.5690582018965903,0.5072007006980286,0.6769417031233297,0.37335872065273257,0.5987241531129667,0.5132564275393778,0.6931193086125472,0.34304979036508,0.5878332600950238
15,0.5061709408436196,0.6622141683549575,0.3500059372342559,0.5855311711199597,0.5033620876786458,0.6698517969309259,0.33492609772885584,0.5855610245474192,0.4776875289532117,0.6368857533226547,0.3987770902878013,0.6326684994173394,0.47941918119507393,0.6487739525817512,0.3761225861191787,0.6042604691618002
