Fold,Ridge_MAE,Ridge_RMSE,Ridge_R2,Ridge_Spearman,KNN_MAE,KNN_RMSE,KNN_R2,KNN_Spearman,RF_MAE,RF_RMSE,RF_R2,RF_Spearman,SVR_MAE,SVR_RMSE,SVR_R2,SVR_Spearman
1,0.5999920674224889,0.7820925266956041,0.2541779842784263,0.5408349247733019,0.5792742551230757,0.7560818244026888,0.3029618903327945,0.5821742293871265,0.5717451748652684,0.7414145633690102,0.32974331843206783,0.6022414971897281,0.570887304499258,0.7421076244447322,0.32848964482943177,0.6066614821968751
2,0.584816851767007,0.7513224354839202,0.3004432052120849,0.570023583376536,0.578828494447527,0.74159521462348,0.31843998876018365,0.5885557805566038,0.570508606834463,0.7333904302102037,0.333437708429313,0.6028255896294206,0.5606792683212979,0.725063034379815,0.3484889403986199,0.6140737152412967
3,0.5575313586789331,0.7303343416784249,0.2664882496881932,0.5484757028465483,0.5295269459964583,0.6962754862586921,0.3333070833944731,0.5911253915252951,0.5327696046939094,0.6915477427522853,0.3423300986057025,0.6044273994190518,0.52736521587758,0.6952751749836237,0.33522132969491636,0.6006489899568844
4,0.5831060597746078,0.7573485182137816,0.3160830923597403,0.5830574578086116,0.5509874139272507,0.7205876017029684,0.38086500618309815,0.6255542000938896,0.5439343129786416,0.7044775101035627,0.4082393991871952,0.6610634979293201,0.5261158292614135,0.6917616156621346,0.4294092841525503,0.6635261315694219
5,0.5795794029263278,0.7416880146419542,0.2808402041438447,0.5672289977140298,0.548360878571076,0.7018247331066754,0.3560676901749352,0.6051223285361833,0.5417259187321947,0.6846475143363093,0.3872025493783674,0.6207107181966448,0.5355841726092349,0.6882645337637049,0.38071058039872696,0.6215681705510788
6,0.5979871541045124,0.7743001967862436,0.29706755382923145,0.5653952680200169,0.5647671128635507,0.7346385970775067,0.3672351667058459,0.626451522976921,0.5672504849494914,0.7373982452849693,0.36247231287554915,0.6132949764528592,0.5478101188889597,0.7217989794566684,0.38916012703619196,0.6382457146754815
7,0.557305454310372,0.7312986154783716,0.31110958168925784,0.581244758445395,0.5399820420291914,0.7130596745300081,0.34504359278526264,0.598895447746979,0.5422670661295973,0.6974249045121449,0.3734502729480711,0.6272091105220595,0.5305705202988695,0.696531478169274,0.37505451013848534,0.628903116518198
8,0.5559481526897538,0.7070593720812152,0.3032805396827042,0.5670384626851293,0.5276085793275466,0.6700694720392264,0.37427163993878976,0.6154695030521549,0.5269831417246345,0.660629999303327,0.39177711477333943,0.6300230331916844,0.5111846450083981,0.6513886047569915,0.4086746624344737,0.648612220366037
9,0.6012487292572036,0.7926570188119813,0.2542838900094413,0.5693831313283007,0.5713446246575904,0.7569344952885431,0.3199834205973232,0.5936531412797624,0.5623444856395198,0.728802663083563,0.3695904144462241,0.6370334758807573,0.5420710578560034,0.7226812237550759,0.3801359508378791,0.6407351837139256
10,0.5883035568702542,0.7497977894330398,0.2739596868618207,0.5372111860411171,0.5669090942190069,0.7333823051886229,0.3054023998131442,0.5721377632143465,0.555114080955641,0.7170231464812602,0.33604480233574563,0.5953649549616821,0.5626532600074187,0.7244683953274773,0.3221847860544097,0.5828190839287026
11,0.5899637882337998,0.7723193238253192,0.2684003797020621,0.5480607782682714,0.5550285568126645,0.7302946069034182,0.3458522441126235,0.6080340809151399,0.5700416910192233,0.7360298494351839,0.33553742692967603,0.5876322836259829,0.5579952279050365,0.7317249306701693,0.34328736323137066,0.5956743136971507
12,0.5837982063424231,0.7467294505919435,0.3087516128361719,0.5738375884490712,0.5693777338571847,0.7335898272673623,0.33286431497132896,0.5868648643849803,0.5584912032075717,0.7101266641808206,0.37485723237305146,0.631107110574517,0.5642534462794012,0.7214290226721145,0.354799358512486,0.6027402058823969
13,0.5779603621363394,0.7669639735181916,0.21448615666600646,0.5297488395253851,0.5337217788288166,0.6981870391960766,0.34905022769735483,0.6003080420087128,0.5407646993998675,0.7021939364071059,0.34155718308767447,0.596273388530355,0.5316403223560586,0.7005844711133773,0.3445720948265917,0.6071566553645121
14,0.5917316507580603,0.7499198202944283,0.30602659098935336,0.572787683113874,0.5570061279890642,0.7260367937473052,0.3495252750393991,0.6156281190069559,0.5516989979823058,0.7052094744563396,0.3863094405464106,0.6428563350824185,0.544937298054302,0.7106527284773575,0.3767991725369647,0.6427651015186263
15,0.5656082438199402,0.7283178075352842,0.3211679674152066,0.5843630954780676,0.5500807610885915,0.7011707326429082,0.37082996555321224,0.6075461560464656,0.5388405277476582,0.6906929067931125,0.38949326119197447,0.6317867068345534,0.5379476813164971,0.6967638987172156,0.3787137368687674,0.6166772734246894
